time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448400000	20.2122	13.7762	4.82665	1.74226	0.543137	lidar	1.3454	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1571	14.0024	4.80241	1.77867	0.56148	radar	0.827051	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1006	14.2596	4.84285	1.80838	0.562808	lidar	0.362843	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0289	14.4884	4.83953	1.83955	0.564076	radar	1.37121	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9185	14.7459	4.89947	1.88388	0.580928	lidar	1.1652	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8528	14.9632	4.87862	1.89943	0.553042	radar	3.4135	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8244	15.1782	4.82818	1.90747	0.532512	lidar	2.19851	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6925	15.3864	4.78698	1.98531	0.637337	radar	7.80904	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6664	15.5699	4.6883	1.99182	0.611127	lidar	3.54907	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5751	15.7726	4.67013	2.01716	0.600989	radar	1.32194	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.47	15.9877	4.68107	2.04708	0.600702	lidar	0.028672	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3703	16.1947	4.68217	2.06145	0.565756	radar	1.8357	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2615	16.3716	4.63438	2.09121	0.567983	lidar	0.585427	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1453	16.5665	4.62543	2.12071	0.571232	radar	0.256409	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0123	16.7804	4.66221	2.15008	0.571617	lidar	0.20734	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8552	16.9725	4.67579	2.21102	0.641564	radar	6.55773	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6758	17.2145	4.79528	2.24679	0.643831	lidar	1.95603	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5754	17.418	4.77255	2.22816	0.542967	radar	6.08292	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3579	17.6144	4.85334	2.27607	0.563626	lidar	3.83183	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2217	17.8063	4.84351	2.27804	0.509256	radar	2.30016	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0915	17.9915	4.81801	2.29377	0.499438	lidar	0.912381	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9159	18.1454	4.79717	2.33823	0.536654	radar	2.04972	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7886	18.2844	4.70834	2.35932	0.531782	lidar	1.06354	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.657	18.464	4.68712	2.36609	0.502576	radar	6.61135	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.459	18.6494	4.75173	2.39406	0.504748	lidar	0.530625	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2793	18.7894	4.73156	2.42989	0.524401	radar	1.77698	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1198	18.9246	4.68381	2.45429	0.52306	lidar	0.289418	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9525	19.095	4.69385	2.46607	0.501119	radar	3.03347	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7345	19.2118	4.70082	2.50679	0.517488	lidar	2.72204	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5434	19.3659	4.72414	2.53106	0.520304	radar	3.25562	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.314	19.531	4.80725	2.55666	0.518713	lidar	0.859984	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0917	19.6133	4.78398	2.60854	0.558937	radar	10.0989	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8849	19.7584	4.81271	2.62875	0.550407	lidar	0.758343	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6978	19.8822	4.77363	2.63293	0.50087	radar	3.21323	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4633	20.0383	4.85375	2.65033	0.491525	lidar	1.28637	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2489	20.1824	4.8831	2.66114	0.470612	radar	5.62071	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0629	20.3122	4.85737	2.67261	0.458437	lidar	1.86921	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8318	20.395	4.85706	2.71068	0.482556	radar	2.16505	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6166	20.5138	4.86663	2.72733	0.474652	lidar	0.610617	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3778	20.6022	4.89174	2.76393	0.501317	radar	1.27081	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1317	20.6758	4.90642	2.79628	0.508697	lidar	0.705073	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8931	20.7482	4.91918	2.83177	0.529966	radar	0.355474	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6173	20.8125	4.97623	2.86646	0.537603	lidar	1.61812	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
